age,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,attention_span_score,focus_level,task_completion_rate,screen_time_severity,wellness_score,productivity_index,high_screen_time_flag,poor_sleep_flag,reels_to_screen_ratio,stress_level_encoded,gender_Female,gender_Male,gender_Non-Binary,gender_Other,location_Rural,location_Suburban,location_Urban,platform_Instagram Reels,platform_TikTok,platform_YouTube Shorts,age_norm,reels_watch_time_hours_norm,daily_screen_time_hours_norm,scrolling_sessions_day_norm,notifications_per_day_norm,sleep_hours_norm,physical_activity_hours_week_norm,attention_span_score_norm,focus_level_norm,task_completion_rate_norm
17,3.81,12.94,10,31,8.12,3.0,6.75,4.24,38.7,0.6341,0.5949,0.5424,1,0,0.2944,3,1,0,0,0,0,0,1,0,1,0,0.069,0.5059,0.7814,0.4737,0.369,0.6716,0.3295,0.4392,0.3473,0.4335
31,1.69,7.25,3,1,8.15,4.6,10.0,7.29,49.8,0.3047,0.766,0.8104,0,0,0.2331,1,0,1,0,0,0,1,0,1,0,0,0.5517,0.2004,0.375,0.1053,0.0119,0.6772,0.5114,1.0,0.7152,0.6012
23,3.99,10.38,9,31,7.1,3.5,8.42,5.99,41.2,0.57,0.5784,0.6741,1,0,0.3844,1,1,0,0,0,1,0,0,1,0,0,0.2759,0.5319,0.5986,0.4211,0.369,0.4813,0.3864,0.7274,0.5584,0.4713
20,3.94,9.28,13,52,6.81,2.9,6.75,6.47,27.0,0.5798,0.4696,0.5772,1,0,0.4246,2,0,1,0,0,1,0,0,1,0,0,0.1724,0.5247,0.52,0.6316,0.619,0.4272,0.3182,0.4392,0.6163,0.2568
37,0.3,3.88,3,2,8.39,7.3,9.23,8.18,71.0,0.1436,0.8772,0.8992,0,0,0.0773,1,1,0,0,0,0,0,1,1,0,0,0.7586,0.0,0.1343,0.1053,0.0238,0.722,0.8182,0.8671,0.8225,0.9215
34,1.5,4.84,1,0,5.56,5.8,7.62,8.23,49.4,0.2139,0.7251,0.7596,0,1,0.3099,2,0,1,0,0,0,1,0,0,0,1,0.6552,0.173,0.2029,0.0,0.0,0.194,0.6477,0.5893,0.8286,0.5952
31,2.95,9.22,6,27,9.18,4.6,7.8,4.74,33.5,0.4535,0.7097,0.5768,1,0,0.32,2,1,0,0,0,0,0,1,0,0,1,0.5517,0.382,0.5157,0.2632,0.3214,0.8694,0.5114,0.6204,0.4076,0.355
23,4.35,9.45,9,24,5.9,2.6,5.95,2.34,29.0,0.5667,0.5255,0.4073,1,1,0.4603,3,1,0,0,0,0,0,1,1,0,0,0.2759,0.5838,0.5321,0.4211,0.2857,0.2575,0.2841,0.3011,0.1181,0.287
21,4.0,11.17,12,44,6.99,1.9,5.37,3.99,36.1,0.6203,0.4652,0.4748,1,0,0.3581,2,1,0,0,0,0,1,0,1,0,0,0.2069,0.5333,0.655,0.5789,0.5238,0.4608,0.2045,0.201,0.3171,0.3943
27,3.42,9.05,2,6,6.93,3.8,8.12,4.8,27.6,0.4353,0.6735,0.5669,1,0,0.3779,2,1,0,0,0,0,0,1,1,0,0,0.4138,0.4497,0.5036,0.0526,0.0714,0.4496,0.4205,0.6756,0.4148,0.2659
