user_id,age,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,stress_level,attention_span_score,focus_level,task_completion_rate,age_group,screen_time_severity,wellness_score,productivity_index,high_screen_time_flag,poor_sleep_flag,reels_to_screen_ratio,stress_level_encoded,gender_Female,gender_Male,gender_Non-Binary,gender_Other,location_Rural,location_Suburban,location_Urban,platform_Instagram Reels,platform_TikTok,platform_YouTube Shorts,age_norm,reels_watch_time_hours_norm,daily_screen_time_hours_norm,scrolling_sessions_day_norm,notifications_per_day_norm,sleep_hours_norm,physical_activity_hours_week_norm,attention_span_score_norm,focus_level_norm,task_completion_rate_norm
1,17,3.81,12.94,10,31,8.12,3.0,High,6.75,4.24,38.7,<18,0.6341,0.5949,0.5424,1,0,0.2944,3,1,0,0,0,0,0,1,0,1,0,0.069,0.5059,0.7814,0.4737,0.369,0.6716,0.3295,0.4392,0.3473,0.4335
2,31,1.69,7.25,3,1,8.15,4.6,Low,10.0,7.29,49.8,26-35,0.3047,0.766,0.8104,0,0,0.2331,1,0,1,0,0,0,1,0,1,0,0,0.5517,0.2004,0.375,0.1053,0.0119,0.6772,0.5114,1.0,0.7152,0.6012
3,23,3.99,10.38,9,31,7.1,3.5,Low,8.42,5.99,41.2,18-25,0.57,0.5784,0.6741,1,0,0.3844,1,1,0,0,0,1,0,0,1,0,0,0.2759,0.5319,0.5986,0.4211,0.369,0.4813,0.3864,0.7274,0.5584,0.4713
4,20,3.94,9.28,13,52,6.81,2.9,Medium,6.75,6.47,27.0,18-25,0.5798,0.4696,0.5772,1,0,0.4246,2,0,1,0,0,1,0,0,1,0,0,0.1724,0.5247,0.52,0.6316,0.619,0.4272,0.3182,0.4392,0.6163,0.2568
5,37,0.3,3.88,3,2,8.39,7.3,Low,9.23,8.18,71.0,36-45,0.1436,0.8772,0.8992,0,0,0.0773,1,1,0,0,0,0,0,1,1,0,0,0.7586,0.0,0.1343,0.1053,0.0238,0.722,0.8182,0.8671,0.8225,0.9215
6,34,1.5,4.84,1,0,5.56,5.8,Medium,7.62,8.23,49.4,26-35,0.2139,0.7251,0.7596,0,1,0.3099,2,0,1,0,0,0,1,0,0,0,1,0.6552,0.173,0.2029,0.0,0.0,0.194,0.6477,0.5893,0.8286,0.5952
7,31,2.95,9.22,6,27,9.18,4.6,Medium,7.8,4.74,33.5,26-35,0.4535,0.7097,0.5768,1,0,0.32,2,1,0,0,0,0,0,1,0,0,1,0.5517,0.382,0.5157,0.2632,0.3214,0.8694,0.5114,0.6204,0.4076,0.355
8,23,4.35,9.45,9,24,5.9,2.6,High,5.95,2.34,29.0,18-25,0.5667,0.5255,0.4073,1,1,0.4603,3,1,0,0,0,0,0,1,1,0,0,0.2759,0.5838,0.5321,0.4211,0.2857,0.2575,0.2841,0.3011,0.1181,0.287
9,21,4.0,11.17,12,44,6.99,1.9,Medium,5.37,3.99,36.1,18-25,0.6203,0.4652,0.4748,1,0,0.3581,2,1,0,0,0,0,1,0,1,0,0,0.2069,0.5333,0.655,0.5789,0.5238,0.4608,0.2045,0.201,0.3171,0.3943
10,27,3.42,9.05,2,6,6.93,3.8,Medium,8.12,4.8,27.6,26-35,0.4353,0.6735,0.5669,1,0,0.3779,2,1,0,0,0,0,0,1,1,0,0,0.4138,0.4497,0.5036,0.0526,0.0714,0.4496,0.4205,0.6756,0.4148,0.2659
11,31,2.18,6.72,6,13,7.84,3.7,Low,9.51,6.73,42.9,26-35,0.3485,0.6768,0.7458,0,0,0.3244,1,0,0,1,0,0,1,0,0,0,1,0.5517,0.271,0.3371,0.2632,0.1548,0.6194,0.4091,0.9154,0.6476,0.497
12,24,4.64,7.58,10,36,5.95,6.2,High,7.14,5.41,34.9,18-25,0.5459,0.626,0.5835,0,1,0.6121,3,0,0,1,0,0,0,1,1,0,0,0.3103,0.6256,0.3986,0.4737,0.4286,0.2668,0.6932,0.5065,0.4884,0.3761
13,17,6.5,14.88,19,84,6.51,2.8,High,5.22,1.89,13.8,<18,0.9212,0.3407,0.3056,1,0,0.4368,3,1,0,0,0,0,0,1,0,1,0,0.069,0.8937,0.92,0.9474,1.0,0.3713,0.3068,0.1752,0.0638,0.0574
14,19,2.67,5.17,6,8,7.75,5.0,Low,8.02,5.56,49.9,18-25,0.3368,0.7426,0.6788,0,0,0.5164,1,1,0,0,0,0,0,1,0,0,1,0.1379,0.3416,0.2264,0.2632,0.0952,0.6026,0.5568,0.6583,0.5065,0.6027
15,22,1.76,5.56,4,28,7.31,4.4,Low,8.65,7.71,38.2,18-25,0.2763,0.632,0.7327,0,0,0.3165,1,1,0,0,0,0,1,0,0,0,1,0.2414,0.2105,0.2543,0.1579,0.3333,0.5205,0.4886,0.767,0.7658,0.426
16,29,3.48,9.47,10,46,8.43,3.6,Low,9.6,7.12,58.6,26-35,0.5291,0.5759,0.8249,1,0,0.3675,1,1,0,0,0,0,0,1,0,0,1,0.4828,0.4584,0.5336,0.4737,0.5476,0.7295,0.3977,0.931,0.6947,0.7341
17,35,2.51,8.96,5,17,8.84,4.5,Low,8.83,7.06,44.2,26-35,0.4127,0.7294,0.7391,1,0,0.2801,1,1,0,0,0,0,0,1,1,0,0,0.6897,0.3186,0.4971,0.2105,0.2024,0.806,0.5,0.7981,0.6874,0.5166
18,40,3.0,7.96,8,46,7.06,5.3,High,8.01,5.08,46.5,36-45,0.4448,0.5942,0.6476,0,0,0.3769,3,1,0,0,0,0,0,1,1,0,0,0.8621,0.3892,0.4257,0.3684,0.5476,0.4739,0.5909,0.6566,0.4486,0.5514
19,26,2.97,6.33,11,49,7.17,4.5,Medium,9.9,9.31,53.5,26-35,0.4324,0.556,0.8948,0,0,0.4692,2,1,0,0,0,0,1,0,1,0,0,0.3793,0.3849,0.3093,0.5263,0.5833,0.4944,0.5,0.9827,0.9588,0.6571
20,18,5.57,11.51,17,63,6.18,1.6,High,6.2,3.8,32.4,<18,0.7656,0.3568,0.4824,1,0,0.4839,3,1,0,0,0,0,0,1,1,0,0,0.1034,0.7596,0.6793,0.8421,0.75,0.3097,0.1705,0.3443,0.2942,0.3384
21,19,4.18,9.91,11,58,6.41,5.2,High,7.51,4.82,34.5,18-25,0.5888,0.5244,0.5735,1,0,0.4218,3,0,1,0,0,0,0,1,0,1,0,0.1379,0.5593,0.565,0.5263,0.6905,0.3526,0.5795,0.5703,0.4172,0.3701
22,34,3.53,8.59,13,52,5.83,2.7,High,7.82,4.96,34.8,26-35,0.5398,0.427,0.5906,1,1,0.4109,3,0,1,0,0,0,0,1,1,0,0,0.6552,0.4656,0.4707,0.6316,0.619,0.2444,0.2955,0.6238,0.4341,0.3746
23,34,3.68,11.12,8,22,7.58,2.1,Medium,7.07,5.15,39.8,26-35,0.5614,0.5725,0.5909,1,0,0.3309,2,1,0,0,0,0,0,1,0,1,0,0.6552,0.4872,0.6514,0.3684,0.2619,0.5709,0.2273,0.4944,0.457,0.4502
24,33,0.3,4.98,4,4,8.84,4.5,Low,9.93,8.35,70.1,26-35,0.1811,0.7758,0.9263,0,0,0.0602,1,1,0,0,0,0,0,1,0,0,1,0.6207,0.0,0.2129,0.1579,0.0476,0.806,0.5,0.9879,0.843,0.9079
25,16,2.92,7.82,10,32,6.63,5.4,Medium,8.07,5.78,40.5,<18,0.4569,0.6329,0.6515,0,0,0.3734,2,1,0,0,0,0,1,0,1,0,0,0.0345,0.3777,0.4157,0.4737,0.381,0.3937,0.6023,0.667,0.533,0.4607
26,19,3.64,6.77,8,34,7.93,5.3,Low,7.88,5.49,32.5,18-25,0.4504,0.6679,0.6028,0,0,0.5377,1,1,0,0,0,0,0,1,0,1,0,0.1379,0.4814,0.3407,0.3684,0.4048,0.6362,0.5909,0.6342,0.498,0.3399
27,15,4.34,10.92,13,56,5.54,4.6,High,7.8,4.7,30.8,<18,0.6429,0.4772,0.5647,1,1,0.3974,3,0,1,0,0,1,0,0,0,0,1,0.0,0.5823,0.6371,0.6316,0.6667,0.1903,0.5114,0.6204,0.4027,0.3142
28,25,2.23,5.37,8,28,7.93,7.8,Medium,9.5,6.82,50.5,18-25,0.3375,0.7877,0.7786,0,0,0.4153,2,1,0,0,0,0,0,1,1,0,0,0.3448,0.2782,0.2407,0.3684,0.3333,0.6362,0.875,0.9137,0.6585,0.6118
29,29,4.37,9.99,13,42,6.14,3.5,High,7.58,6.33,35.1,26-35,0.6213,0.5052,0.633,1,0,0.4374,3,0,1,0,0,0,1,0,1,0,0,0.4828,0.5867,0.5707,0.6316,0.5,0.3022,0.3864,0.5824,0.5994,0.3792
30,18,4.5,11.35,11,33,6.58,7.3,Medium,6.47,1.86,10.0,<18,0.6425,0.7023,0.3333,1,0,0.3965,2,1,0,0,0,0,1,0,0,1,0,0.1034,0.6054,0.6679,0.5263,0.3929,0.3843,0.8182,0.3909,0.0602,0.0
31,43,0.96,2.49,3,22,8.0,6.6,Low,7.05,5.87,52.8,36-45,0.1453,0.7644,0.6675,0,0,0.3855,1,0,1,0,0,0,0,1,0,0,1,0.9655,0.0951,0.035,0.1053,0.2619,0.6493,0.7386,0.4909,0.5439,0.6465
32,28,2.84,8.48,5,29,8.17,5.2,Low,8.42,6.11,46.6,26-35,0.419,0.6903,0.6997,1,0,0.3349,1,1,0,0,0,0,0,1,0,0,1,0.4483,0.3661,0.4629,0.2105,0.3452,0.681,0.5795,0.7274,0.5728,0.5529
33,15,4.63,11.29,13,49,6.18,2.9,Medium,7.04,5.42,31.9,<18,0.6681,0.458,0.5685,1,0,0.4101,2,1,0,0,0,0,0,1,0,1,0,0.0,0.6241,0.6636,0.6316,0.5833,0.3097,0.3182,0.4892,0.4896,0.3308
34,29,2.47,6.84,5,19,8.43,4.1,Low,8.54,5.63,39.7,26-35,0.3575,0.692,0.6594,0,0,0.3611,1,0,1,0,0,0,1,0,0,0,1,0.4828,0.3128,0.3457,0.2105,0.2262,0.7295,0.4545,0.7481,0.5149,0.4486
35,31,0.88,4.58,1,0,7.5,5.9,Low,9.64,7.2,58.3,26-35,0.1731,0.7977,0.828,0,0,0.1921,1,0,1,0,0,0,0,1,1,0,0,0.5517,0.0836,0.1843,0.0,0.0,0.556,0.6591,0.9379,0.7043,0.7296
36,36,0.96,2.0,4,16,7.62,6.8,Low,8.69,5.23,55.0,36-45,0.1431,0.7802,0.7103,0,0,0.48,1,1,0,0,0,0,0,1,0,0,1,0.7241,0.0951,0.0,0.1579,0.1905,0.5784,0.7614,0.7739,0.4667,0.6798
37,33,3.16,8.79,10,44,8.11,5.6,Low,9.37,7.15,47.9,26-35,0.4944,0.6504,0.7758,1,0,0.3595,1,0,1,0,0,0,1,0,0,0,1,0.6207,0.4123,0.485,0.4737,0.5238,0.6698,0.625,0.8913,0.6983,0.5725
38,39,1.66,6.14,5,20,7.99,4.5,Low,8.94,5.72,57.8,36-45,0.2952,0.6886,0.7479,0,0,0.2704,1,0,1,0,0,0,0,1,0,0,1,0.8276,0.196,0.2957,0.2105,0.2381,0.6474,0.5,0.8171,0.5258,0.7221
39,17,3.55,8.51,8,40,6.03,3.5,High,6.2,3.74,31.3,<18,0.489,0.5084,0.4759,1,0,0.4172,3,1,0,0,0,0,0,1,0,1,0,0.069,0.4685,0.465,0.3684,0.4762,0.2817,0.3864,0.3443,0.2869,0.3218
40,34,4.27,7.57,14,48,5.68,2.8,High,6.99,4.83,12.8,26-35,0.5652,0.4399,0.4702,0,1,0.5641,3,0,1,0,0,0,0,1,0,0,1,0.6552,0.5723,0.3979,0.6842,0.5714,0.2164,0.3068,0.4806,0.4184,0.0423
41,26,2.67,5.46,5,22,8.65,4.8,Medium,8.44,5.69,42.6,26-35,0.3341,0.7166,0.6695,0,0,0.489,2,1,0,0,0,0,0,1,0,0,1,0.3793,0.3416,0.2471,0.2105,0.2619,0.7705,0.5341,0.7308,0.5222,0.4924
42,26,1.31,2.94,4,16,8.14,5.0,Low,8.08,6.91,53.6,26-35,0.1859,0.7278,0.7444,0,0,0.4456,1,0,1,0,0,1,0,0,1,0,0,0.3793,0.1456,0.0671,0.1579,0.1905,0.6754,0.5568,0.6687,0.6693,0.6586
43,32,0.74,4.0,4,13,7.63,7.3,Low,9.42,6.18,50.4,26-35,0.1809,0.8109,0.7522,0,0,0.185,1,0,1,0,0,0,0,1,1,0,0,0.5862,0.0634,0.1429,0.1579,0.1548,0.5802,0.8182,0.8999,0.5813,0.6103
44,18,5.62,12.0,13,62,6.4,3.4,High,7.54,4.68,43.8,<18,0.7406,0.439,0.6061,1,0,0.4683,3,0,1,0,0,0,0,1,1,0,0,0.1034,0.7668,0.7143,0.6316,0.7381,0.3507,0.375,0.5755,0.4003,0.5106
45,21,4.07,8.19,10,42,7.18,4.5,High,7.09,6.59,45.6,18-25,0.5297,0.5813,0.6667,1,0,0.4969,3,0,1,0,0,1,0,0,1,0,0,0.2069,0.5434,0.4421,0.4737,0.5,0.4963,0.5,0.4978,0.6307,0.5378
46,20,4.82,9.91,12,42,6.12,5.3,Medium,7.22,6.04,32.1,18-25,0.6341,0.5752,0.5981,1,0,0.4864,2,1,0,0,0,0,0,1,0,0,1,0.1724,0.6515,0.565,0.5789,0.5,0.2985,0.5909,0.5203,0.5644,0.3338
47,30,2.83,7.95,4,19,7.72,5.4,Low,7.27,6.45,35.3,26-35,0.3952,0.718,0.6273,0,0,0.356,1,1,0,0,0,0,0,1,0,1,0,0.5172,0.3647,0.425,0.1579,0.2262,0.597,0.6023,0.5289,0.6138,0.3822
48,21,6.68,13.41,19,56,6.04,4.9,High,5.86,3.01,15.8,18-25,0.8944,0.5067,0.3765,1,0,0.4981,3,0,1,0,0,0,0,1,0,1,0,0.2069,0.9196,0.815,0.9474,0.6667,0.2836,0.5455,0.2856,0.1989,0.0876
49,27,3.7,11.18,7,25,6.28,4.5,High,6.44,5.94,39.6,26-35,0.554,0.6102,0.5967,1,0,0.3309,3,0,1,0,0,0,0,1,0,0,1,0.4138,0.4901,0.6557,0.3158,0.2976,0.3284,0.5,0.3857,0.5523,0.4471
50,21,4.35,9.32,13,56,6.79,4.3,High,7.66,4.56,29.9,18-25,0.6034,0.5096,0.5512,1,0,0.4667,3,1,0,0,0,0,1,0,0,1,0,0.2069,0.5838,0.5229,0.6316,0.6667,0.4235,0.4773,0.5962,0.3859,0.3006
51,22,3.54,9.7,10,35,6.74,2.0,Medium,7.04,5.42,45.8,18-25,0.5381,0.4924,0.6233,1,0,0.3649,2,1,0,0,0,0,0,1,0,0,1,0.2414,0.467,0.55,0.4737,0.4167,0.4142,0.2159,0.4892,0.4896,0.5408
52,34,3.14,11.89,11,31,7.89,4.5,Low,8.59,5.2,45.7,26-35,0.5808,0.6458,0.6691,1,0,0.2641,1,1,0,0,0,0,0,1,1,0,0,0.6552,0.4094,0.7064,0.5263,0.369,0.6287,0.5,0.7567,0.4631,0.5393
53,32,2.67,4.98,6,34,7.21,4.1,Low,8.02,6.0,36.1,26-35,0.3321,0.5952,0.6404,0,0,0.5361,1,1,0,0,0,0,0,1,0,0,1,0.5862,0.3416,0.2129,0.2632,0.4048,0.5019,0.4545,0.6583,0.5596,0.3943
54,39,4.08,10.07,11,47,8.41,3.1,Medium,8.45,5.17,32.0,36-45,0.5872,0.552,0.6092,1,0,0.4052,2,0,1,0,0,0,0,1,1,0,0,0.8276,0.5449,0.5764,0.5263,0.5595,0.7257,0.3409,0.7325,0.4594,0.3323
55,44,1.68,5.93,5,17,6.45,7.5,Medium,8.6,7.44,58.8,36-45,0.2911,0.7627,0.8023,0,0,0.2833,2,1,0,0,0,0,0,1,0,0,1,1.0,0.1989,0.2807,0.2105,0.2024,0.3601,0.8409,0.7584,0.7333,0.7372
56,35,3.83,11.24,9,34,7.36,2.7,Medium,8.53,5.56,35.6,26-35,0.5827,0.5455,0.6403,1,0,0.3407,2,0,1,0,0,1,0,0,0,1,0,0.6897,0.5088,0.66,0.4211,0.4048,0.5299,0.2955,0.7463,0.5065,0.3867
57,35,1.78,5.5,2,32,7.34,3.9,Low,9.62,8.47,63.3,26-35,0.2559,0.5991,0.8931,0,0,0.3236,1,0,1,0,0,0,0,1,1,0,0,0.6897,0.2133,0.25,0.0526,0.381,0.5261,0.4318,0.9344,0.8575,0.8051
58,39,1.49,4.41,8,40,7.51,8.0,Low,9.06,7.02,44.0,36-45,0.2726,0.7378,0.7449,0,0,0.3379,1,1,0,0,0,0,0,1,0,1,0,0.8276,0.1715,0.1721,0.3684,0.4762,0.5578,0.8977,0.8378,0.6826,0.5136
59,31,0.85,2.06,4,22,9.63,8.8,Low,9.84,8.1,69.7,26-35,0.1385,0.9086,0.9126,0,0,0.4126,1,1,0,0,0,0,0,1,0,0,1,0.5517,0.0793,0.0043,0.1579,0.2619,0.9534,0.9886,0.9724,0.8129,0.9018
60,30,2.35,6.39,8,26,6.61,6.7,Medium,7.2,5.02,45.1,26-35,0.3696,0.7048,0.6116,0,0,0.3678,2,0,1,0,0,1,0,0,1,0,0,0.5172,0.2955,0.3136,0.3684,0.3095,0.3899,0.75,0.5168,0.4413,0.5302
61,36,3.31,12.5,8,28,7.61,4.6,Low,7.7,5.33,46.6,36-45,0.5754,0.6505,0.6463,1,0,0.2648,1,0,1,0,0,0,1,0,1,0,0,0.7241,0.4339,0.75,0.3684,0.3333,0.5765,0.5114,0.6031,0.4787,0.5529
62,38,1.73,6.21,7,24,7.71,3.5,Low,9.78,8.24,59.9,36-45,0.3209,0.6251,0.8769,0,0,0.2786,1,1,0,0,0,0,0,1,0,0,1,0.7931,0.2061,0.3007,0.3158,0.2857,0.5951,0.3864,0.962,0.8298,0.7538
63,32,2.98,8.02,11,42,7.93,4.3,Medium,9.19,6.56,34.6,26-35,0.4752,0.6,0.6958,1,0,0.3716,2,1,0,0,0,0,0,1,1,0,0,0.5862,0.3863,0.43,0.5263,0.5,0.6362,0.4773,0.8602,0.6271,0.3716
64,20,3.21,7.16,4,15,6.77,6.3,High,7.96,6.0,51.5,18-25,0.3964,0.734,0.6989,0,0,0.4483,3,1,0,0,0,0,0,1,1,0,0,0.1724,0.4195,0.3686,0.1579,0.1786,0.4198,0.7045,0.648,0.5596,0.6269
65,40,1.63,4.2,2,10,7.34,8.2,Low,10.0,8.09,53.3,36-45,0.2151,0.8468,0.8532,0,0,0.3881,1,0,0,0,1,0,0,1,0,1,0,0.8621,0.1917,0.1571,0.0526,0.119,0.5261,0.9205,1.0,0.8117,0.6541
66,25,3.27,6.5,7,14,7.96,6.2,Medium,7.85,5.7,38.6,18-25,0.4132,0.7758,0.6334,0,0,0.5031,2,1,0,0,0,0,1,0,0,1,0,0.3448,0.4281,0.3214,0.3158,0.1667,0.6418,0.6932,0.629,0.5234,0.432
67,30,3.54,9.99,6,24,8.33,5.1,Low,8.55,6.57,45.4,26-35,0.5054,0.7099,0.7162,1,0,0.3544,1,1,0,0,0,0,1,0,1,0,0,0.5172,0.467,0.5707,0.2632,0.2857,0.7108,0.5682,0.7498,0.6283,0.5347
68,16,5.21,11.15,11,47,5.97,5.4,High,4.205,1.3612499999999987,10.0,<18,0.6767,0.556,0.2359,1,1,0.4673,3,1,0,0,0,0,0,1,0,1,0,0.0345,0.7077,0.6536,0.5263,0.5595,0.2705,0.6023,0.0,0.0,0.0
70,40,1.11,4.35,2,0,7.99,7.8,Medium,7.63,5.02,54.3,36-45,0.1901,0.8898,0.6629,0,0,0.2552,2,0,0,0,1,0,0,1,0,0,1,0.8621,0.1168,0.1679,0.0526,0.0,0.6474,0.875,0.591,0.4413,0.6692
71,25,2.23,7.32,6,18,7.43,4.4,Low,7.54,5.76,42.3,18-25,0.3662,0.672,0.6393,0,0,0.3046,1,0,1,0,0,0,1,0,0,0,1,0.3448,0.2782,0.38,0.2632,0.2143,0.5429,0.4886,0.5755,0.5306,0.4879
